You entered a buffer length of 100
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.010560, 1.016114, 0.037661, -0.068310, 0.591776, 0.551697, 0.017518, 0.319905, 1.222059, -0.154856, 0.319905, 1.222059
-0.017762, 1.012330, 0.038149, -0.069936, 0.582250, 0.560417, 0.017518, 0.063542, 0.909662, -0.173167, 0.063542, 0.909662
-0.020082, 1.009644, 0.037417, -0.071125, 0.572277, 0.568704, 0.017518, 0.015077, 0.866813, -0.136666, 0.015077, 0.866813
-0.028383, 1.006714, 0.030703, -0.071892, 0.565458, 0.578830, 0.017518, 0.327718, 1.050052, -0.096747, 0.327718, 1.050052
-0.030825, 1.001099, 0.028017, -0.072906, 0.558236, 0.588151, 0.017518, 0.284502, 0.962766, -0.129830, 0.284502, 0.962766
-0.034609, 0.995239, 0.022279, -0.074140, 0.550750, 0.596329, 0.017518, 0.252518, 0.845816, -0.154245, 0.252518, 0.845816
-0.037661, 0.988281, 0.020570, -0.075277, 0.544428, 0.604424, 0.017518, 0.362998, 0.831777, -0.148263, 0.362998, 0.831777
-0.040591, 0.985351, 0.018983, -0.076076, 0.539199, 0.612932, 0.017518, 0.465421, 0.871330, -0.117622, 0.465421, 0.871330
-0.041079, 0.985595, 0.019349, -0.076813, 0.534416, 0.620643, 0.017518, 0.507050, 0.790148, -0.114204, 0.507050, 0.790148
-0.042178, 0.985229, 0.020692, -0.077507, 0.530233, 0.627317, 0.017518, 0.567234, 0.686749, -0.110541, 0.567234, 0.686749
-0.042178, 0.989013, 0.019838, -0.078201, 0.525817, 0.633859, 0.017518, 0.543673, 0.674907, -0.111518, 0.543673, 0.674907
-0.044131, 0.988647, 0.019105, -0.078483, 0.522191, 0.640537, 0.017518, 0.626442, 0.687603, -0.070378, 0.626442, 0.687603
-0.042056, 0.987426, 0.020204, -0.078489, 0.519487, 0.647234, 0.017518, 0.718245, 0.688824, -0.044742, 0.718245, 0.688824
-0.044619, 0.986816, 0.024843, -0.078402, 0.517486, 0.654012, 0.017518, 0.787341, 0.697980, -0.033388, 0.787341, 0.697980
-0.044619, 0.987914, 0.030947, -0.078324, 0.515746, 0.660640, 0.017518, 0.812733, 0.687603, -0.036806, 0.812733, 0.687603
-0.042056, 0.987548, 0.037783, -0.078519, 0.511887, 0.665403, 0.017518, 0.602026, 0.507294, -0.064152, 0.602026, 0.507294
-0.043765, 0.987182, 0.035342, -0.079147, 0.508908, 0.669534, 0.017518, 0.689678, 0.450894, -0.104804, 0.689678, 0.450894
-0.044131, 0.984374, 0.036196, -0.079280, 0.506875, 0.674724, 0.017518, 0.783922, 0.554294, -0.057071, 0.783922, 0.554294
-0.044864, 0.983275, 0.035586, -0.079253, 0.505465, 0.680062, 0.017518, 0.843374, 0.570042, -0.041445, 0.843374, 0.570042
-0.047061, 0.986449, 0.035219, -0.079543, 0.505265, 0.686534, 0.017518, 0.963255, 0.682720, -0.073918, 0.963255, 0.682720
-0.055240, 1.000977, 0.055851, -0.079863, 0.504668, 0.691413, 0.017518, 0.926753, 0.523164, -0.079045, 0.926753, 0.523164
-0.061832, 0.995971, 0.022645, -0.079702, 0.502251, 0.694472, 0.017518, 0.759263, 0.361777, -0.039126, 0.759263, 0.361777
-0.043277, 0.980345, -0.023378, -0.079261, 0.499166, 0.696925, 0.017518, 0.687481, 0.267900, -0.017762, 0.687481, 0.267900
-0.034853, 0.969725, -0.075383, -0.078840, 0.496233, 0.699379, 0.017518, 0.686993, 0.221998, -0.001160, 0.686993, 0.221998
-0.041690, 0.951413, -0.016786, -0.078548, 0.495608, 0.704169, 0.017518, 0.907221, 0.403650, -0.005677, 0.907221, 0.403650
-0.027529, 1.069462, 0.106025, -0.078044, 0.496075, 0.708593, 0.008729, 0.998169, 0.425624, 0.008729, 0.998169, 0.425624
0.024965, 0.990600, 0.065006, -0.078092, 0.495707, 0.711739, 0.008729, 1.032595, 0.420619, -0.032290, 1.032595, 0.420619
0.041201, 0.965940, 0.033388, -0.078755, 0.495820, 0.715743, 0.008729, 1.001953, 0.465421, -0.041323, 1.001953, 0.465421
0.016419, 0.951779, -0.059513, -0.077167, 0.495006, 0.718683, 0.200024, 0.884514, 0.327352, 0.200024, 0.884514, 0.327352
-0.042666, 0.907465, 0.045474, -0.074908, 0.493349, 0.721698, 0.242263, 0.786120, 0.242019, 0.242263, 0.786120, 0.242019
-0.084417, 1.028200, 0.197827, -0.072539, 0.491882, 0.723217, 0.194287, 0.760728, 0.197339, 0.194287, 0.760728, 0.197339
-0.066715, 1.090582, 0.223341, -0.070585, 0.490087, 0.722912, 0.110908, 0.848746, 0.167308, 0.110908, 0.848746, 0.167308
0.025697, 0.993042, 0.201611, -0.068873, 0.488431, 0.722465, 0.104560, 0.924922, 0.178661, 0.104560, 0.924922, 0.178661
0.051090, 0.883172, 0.061466, -0.068254, 0.488849, 0.722368, 0.087591, 1.034914, 0.191967, 0.087591, 1.034914, 0.191967
0.005799, 0.863883, 0.061344, -0.067944, 0.490123, 0.723187, 0.082097, 1.010499, 0.143380, 0.082097, 1.010499, 0.143380
-0.077458, 0.981444, 0.341757, -0.068371, 0.491763, 0.723259, 0.082097, 1.027956, 0.068547, -0.036929, 1.027956, 0.068547
-0.079900, 1.052738, 0.412928, -0.068368, 0.492353, 0.719850, 0.082097, 1.040408, 0.000793, -0.077214, 1.040408, 0.000793
-0.020570, 0.972655, 0.343832, -0.069129, 0.491850, 0.714922, 0.082097, 1.002442, 0.000793, -0.155954, 1.002442, -0.079900
0.010682, 0.867790, 0.286456, -0.071050, 0.492033, 0.710490, 0.082097, 0.990966, 0.000793, -0.212721, 0.990966, -0.099310
0.007752, 0.799792, 0.184765, -0.070601, 0.492822, 0.707366, 0.055606, 0.946652, 0.000793, 0.055606, 0.946652, -0.025942
-0.036196, 0.761460, 0.158640, -0.069861, 0.493121, 0.705108, 0.081731, 0.829702, 0.000793, 0.081731, 0.829702, -0.041079
