You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
0.008973, 1.009156, 0.024843, 0.007856, 1.009888, -0.031307, 0.009705, 1.004151, 0.009217, 0.009705, 1.004151, 0.009217
-0.020570, 0.951047, 0.339803, 0.013856, 1.001263, 0.131997, 0.018006, 0.931026, 0.351767, 0.018006, 0.931026, 0.351767
-0.015443, 0.770860, 0.568943, -0.006250, 0.903461, 0.466093, 0.022035, 0.849234, 0.644754, -0.028383, 0.849234, 0.644754
0.034121, 0.401209, 0.832509, -0.037478, 0.676720, 0.736336, 0.014588, 0.539645, 0.848135, -0.002014, 0.539645, 0.848135
0.044131, 0.089300, 1.080327, 0.055417, 0.235543, 0.985973, 0.101996, 0.034731, 0.981933, 0.101996, 0.034731, 0.981933
0.068913, -0.279741, 0.933346, 0.058078, -0.144748, 0.988946, 0.062687, 0.073796, 0.919429, 0.062687, -0.282427, 0.919429
0.207349, -0.556369, 0.739242, 0.140365, -0.420173, 0.878972, 0.175731, 0.073796, 0.802234, 0.175731, -0.463834, 0.802234
0.224806, -0.909174, 0.384484, 0.199719, -0.742398, 0.637899, 0.239944, 0.073796, 0.491180, 0.239944, -1.042971, 0.491180
0.164011, -0.961912, 0.229934, 0.187072, -0.928676, 0.338992, 0.086370, 0.073796, 0.305744, 0.086370, -1.079351, 0.305744
0.133248, -1.096197, -0.260331, 0.149954, -0.979808, -0.045718, 0.148874, 0.073796, 0.010560, 0.148874, -1.051395, -0.250687
0.078557, -0.452115, -0.808704, 0.100659, -0.774400, -0.599615, 0.118843, 0.073796, 0.010560, 0.118843, -0.539523, -0.842153
-0.017152, -0.096136, -0.983764, 0.010035, -0.227602, -0.917909, 0.001404, 0.073796, 0.010560, -0.024721, -0.084173, -0.941281
-0.004700, 0.073552, -0.979857, -0.004810, 0.033773, -0.995800, 0.009461, 0.073552, 0.010560, -0.002991, 0.073552, -0.987060
-0.032534, 0.388024, -0.913935, -0.005384, 0.231612, -0.964249, 0.011170, 0.315510, 0.010560, -0.042300, 0.315510, -0.917109
-0.083806, 0.601172, -0.770128, -0.040219, 0.438839, -0.891094, 0.011170, 0.596533, 0.010560, -0.072453, 0.596533, -0.771837
-0.085515, 0.803821, -0.562840, -0.085656, 0.736562, -0.668034, 0.011170, 0.801868, 0.010560, -0.083562, 0.801868, -0.580907
-0.085882, 0.955808, -0.278154, -0.074602, 0.932802, -0.399805, 0.011170, 0.980345, 0.010560, -0.079167, 0.980345, -0.288409
-0.103339, 1.002808, 0.189892, -0.080040, 0.987658, -0.069175, 0.003845, 0.989868, 0.151315, -0.077458, 0.989868, 0.151315
-0.107001, 0.902216, 0.455045, -0.096179, 0.968278, 0.285198, 0.003845, 0.910517, 0.472380, -0.082586, 0.910517, 0.472380
-0.003235, 0.571141, 0.828359, -0.090521, 0.765397, 0.627748, 0.003845, 0.568943, 0.816639, -0.000794, 0.568943, 0.816639
-0.102118, 0.210767, 1.023195, -0.036111, 0.392974, 0.926180, 0.003845, 0.256913, 0.987304, -0.062809, 0.256913, 0.987304
0.030214, -0.191357, 0.940182, -0.040219, 0.059812, 0.990698, 0.022157, 0.052310, 0.942135, 0.022157, -0.144967, 0.942135
0.009217, -0.566136, 0.863029, 0.014137, -0.343185, 0.949765, 0.032656, 0.052310, 0.909540, -0.039126, -0.520967, 0.909540
0.096624, -0.716291, 0.672099, 0.039663, -0.623488, 0.786889, 0.088812, 0.052310, 0.714094, 0.088812, -0.668437, 0.714094
0.067814, -0.853995, 0.537325, 0.076293, -0.774486, 0.646499, 0.086126, 0.052310, 0.548556, 0.086126, -0.864982, 0.548556
0.096136, -1.099005, 0.095038, 0.064488, -0.922743, 0.367869, 0.045352, 0.052310, 0.185009, 0.045352, -1.116706, 0.185009
0.003601, -0.928218, -0.255936, 0.052524, -0.998913, -0.068333, 0.005555, 0.052310, 0.036074, -0.000549, -0.948972, -0.217359
0.030947, -0.734115, -0.723250, 0.011805, -0.802838, -0.503015, 0.012147, 0.052310, 0.036074, 0.012147, -0.724593, -0.694439
-0.023012, -0.316731, -0.939327, -0.000977, -0.551828, -0.824226, 0.007264, 0.052310, 0.036074, -0.051090, -0.342001, -0.875603
-0.046451, -0.184521, -1.004761, -0.045529, -0.287731, -0.941628, 0.007264, 0.052310, 0.036074, -0.036196, -0.189648, -1.006226
-0.030092, 0.265946, -0.958249, -0.029036, 0.042300, -0.981450, 0.007264, 0.181591, 0.036074, -0.006287, 0.181591, -0.972777
-0.011536, 0.715681, -0.760850, -0.016304, 0.424757, -0.877452, 0.000183, 0.725691, 0.036074, -0.020082, 0.725691, -0.764024
-0.075871, 0.796618, -0.565892, -0.036629, 0.736861, -0.663798, 0.051456, 0.790148, 0.036074, -0.046939, 0.790148, -0.572117
