You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
0.063542, 0.985473, 0.048648, 0.045596, 0.967411, 0.039980, 0.044253, 0.947751, 0.013001, 0.044253, 0.947751, 0.013001
0.058903, 0.982177, 0.048404, 0.044723, 0.966227, 0.037649, 0.046084, 0.961790, 0.002014, 0.046084, 0.961790, 0.002014
0.054264, 0.977049, 0.046206, 0.044253, 0.965483, 0.035604, 0.049502, 0.967283, 0.007508, 0.049502, 0.967283, 0.007508
0.046939, 0.974608, 0.047793, 0.044186, 0.965122, 0.034078, 0.052921, 0.969847, 0.015687, 0.052921, 0.969847, 0.015687
0.040591, 0.971190, 0.050357, 0.044961, 0.965293, 0.032320, 0.062443, 0.978026, 0.012635, 0.062443, 0.978026, 0.012635
0.040103, 0.968382, 0.049380, 0.046878, 0.965464, 0.030788, 0.078923, 0.974608, 0.019716, 0.078923, 0.974608, 0.019716
0.040835, 0.965696, 0.047916, 0.049454, 0.965318, 0.029756, 0.091619, 0.965452, 0.028749, 0.091619, 0.965452, 0.028749
0.040835, 0.962400, 0.044742, 0.052426, 0.964042, 0.029372, 0.100287, 0.940182, 0.040225, 0.100287, 0.940182, 0.040225
0.041445, 0.964109, 0.046573, 0.055326, 0.962882, 0.030989, 0.098822, 0.939205, 0.077092, 0.098822, 0.939205, 0.077092
0.040469, 0.967894, 0.046084, 0.058371, 0.962284, 0.032564, 0.102362, 0.952145, 0.078069, 0.102362, 0.952145, 0.078069
0.042788, 0.971678, 0.049136, 0.060587, 0.961222, 0.034670, 0.084783, 0.946652, 0.088201, 0.084783, 0.946652, 0.088201
0.045108, 0.977904, 0.047061, 0.062308, 0.959519, 0.036105, 0.077214, 0.937618, 0.077825, 0.077214, 0.937618, 0.077825
0.043521, 0.976195, 0.049502, 0.065690, 0.955545, 0.036904, 0.112739, 0.898431, 0.063053, 0.112739, 0.898431, 0.063053
0.046206, 0.970945, 0.043154, 0.069596, 0.951859, 0.037881, 0.121650, 0.902460, 0.069035, 0.121650, 0.902460, 0.069035
0.045962, 0.968382, 0.033022, 0.071824, 0.947623, 0.041500, 0.090765, 0.886224, 0.115547, 0.090765, 0.886224, 0.115547
0.047549, 0.959470, 0.027284, 0.074541, 0.941378, 0.048318, 0.100287, 0.843496, 0.169383, 0.100287, 0.843496, 0.169383
0.042178, 0.955075, 0.023378, 0.078844, 0.937740, 0.062504, 0.133614, 0.886712, 0.310993, 0.133614, 0.886712, 0.310993
0.043765, 0.953855, 0.021303, 0.087786, 0.934255, 0.084527, 0.221022, 0.885369, 0.463834, 0.221022, 0.885369, 0.463834
0.042666, 0.947995, 0.016664, 0.092803, 0.933742, 0.109449, 0.144113, 0.943600, 0.519746, 0.144113, 0.943600, 0.519746
0.044253, 0.947751, 0.013001, 0.099506, 0.929305, 0.133162, 0.176708, 0.859244, 0.490936, 0.176708, 0.859244, 0.490936
0.046084, 0.961790, 0.002014, 0.106757, 0.922560, 0.156894, 0.189282, 0.812855, 0.487640, 0.189282, 0.812855, 0.487640
0.049502, 0.967283, 0.007508, 0.114411, 0.914723, 0.183251, 0.199170, 0.805042, 0.529146, 0.199170, 0.805042, 0.529146
0.052921, 0.969847, 0.015687, 0.121907, 0.908124, 0.211616, 0.199414, 0.835317, 0.574803, 0.199414, 0.835317, 0.574803
0.062443, 0.978026, 0.012635, 0.129622, 0.902533, 0.241555, 0.207227, 0.858024, 0.614478, 0.207227, 0.858024, 0.614478
0.078923, 0.974608, 0.019716, 0.135097, 0.896502, 0.274852, 0.171947, 0.857413, 0.678569, 0.171947, 0.857413, 0.678569
0.091619, 0.965452, 0.028749, 0.140176, 0.894732, 0.306568, 0.180492, 0.939205, 0.654032, 0.180492, 0.939205, 0.654032
0.100287, 0.940182, 0.040225, 0.140097, 0.892187, 0.338540, 0.090032, 0.914546, 0.668193, 0.090032, 0.914546, 0.668193
0.098822, 0.939205, 0.077092, 0.140756, 0.890234, 0.369688, 0.113471, 0.901117, 0.663188, 0.113471, 0.901117, 0.663188
0.102362, 0.952145, 0.078069, 0.141934, 0.883874, 0.396783, 0.122383, 0.812000, 0.618995, 0.122383, 0.812000, 0.618995
0.084783, 0.946652, 0.088201, 0.140573, 0.877233, 0.423897, 0.075139, 0.819325, 0.620338, 0.075139, 0.819325, 0.620338
0.077214, 0.937618, 0.077825, 0.138949, 0.869255, 0.449075, 0.052310, 0.787096, 0.591772, 0.052310, 0.787096, 0.591772
0.112739, 0.898431, 0.063053, 0.137759, 0.866288, 0.476842, 0.053409, 0.878289, 0.633156, 0.053409, 0.878289, 0.633156
0.121650, 0.902460, 0.069035, 0.134554, 0.863908, 0.504328, 0.048648, 0.850821, 0.612769, 0.048648, 0.850821, 0.612769
0.090765, 0.886224, 0.115547, 0.131716, 0.861411, 0.532509, 0.064884, 0.852530, 0.632668, 0.064884, 0.852530, 0.632668
0.100287, 0.843496, 0.169383, 0.115095, 0.856785, 0.570237, 0.064884, 0.793689, 0.870109, -0.241653, 0.793689, 0.870109
0.133614, 0.886712, 0.310993, 0.113441, 0.863059, 0.583172, 0.067204, 0.968992, 0.428066, 0.067204, 0.968992, 0.428066
0.221022, 0.885369, 0.463834, 0.104950, 0.862895, 0.600391, 0.067204, 0.883416, 0.655375, -0.036196, 0.883416, 0.655375
0.144113, 0.943600, 0.519746, 0.092089, 0.860563, 0.609327, 0.067204, 0.838735, 0.642556, -0.036196, 0.838735, 0.642556
0.176708, 0.859244, 0.490936, 0.082024, 0.860410, 0.612623, 0.067204, 0.940548, 0.585668, -0.057193, 0.940548, 0.585668
0.189282, 0.812855, 0.487640, 0.071922, 0.860050, 0.609931, 0.067204, 0.852042, 0.437099, -0.025331, 0.852042, 0.437099
0.199170, 0.805042, 0.529146, 0.056138, 0.858512, 0.607123, 0.067204, 0.782091, 0.431484, -0.126411, 0.782091, 0.431484
0.199414, 0.835317, 0.574803, 0.048703, 0.852298, 0.613374, 0.050479, 0.680767, 0.654154, 0.050479, 0.680767, 0.654154
0.207227, 0.858024, 0.614478, 0.035647, 0.843576, 0.621266, 0.050479, 0.660868, 0.732650, -0.061710, 0.660868, 0.732650
0.171947, 0.857413, 0.678569, 0.024611, 0.836336, 0.628609, 0.050479, 0.713239, 0.761338, -0.013490, 0.713239, 0.761338
0.180492, 0.939205, 0.654032, 0.015113, 0.829689, 0.630989, 0.050479, 0.724470, 0.726180, -0.018006, 0.724470, 0.726180
0.090032, 0.914546, 0.668193, 0.005744, 0.817311, 0.634145, 0.050479, 0.691632, 0.717146, -0.006897, 0.691632, 0.717146
0.113471, 0.901117, 0.663188, -0.000537, 0.803870, 0.642190, 0.050479, 0.645730, 0.829091, -0.035586, 0.645730, 0.829091
0.122383, 0.812000, 0.618995, -0.008637, 0.797021, 0.649557, 0.050479, 0.764146, 0.810535, -0.048526, 0.764146, 0.810535
0.075139, 0.819325, 0.620338, -0.015376, 0.788189, 0.658555, 0.050479, 0.635354, 0.798938, -0.012391, 0.635354, 0.798938
0.052310, 0.787096, 0.591772, -0.019178, 0.778563, 0.671562, 0.050479, 0.626808, 0.880486, -0.000916, 0.626808, 0.880486
0.053409, 0.878289, 0.633156, -0.020649, 0.765531, 0.682158, 0.022890, 0.526460, 0.803699, 0.022890, 0.526460, 0.803699
0.048648, 0.850821, 0.612769, -0.021064, 0.750528, 0.687585, 0.045108, 0.578221, 0.741683, 0.045108, 0.578221, 0.741683
