You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
0.200391, 0.979369, 0.088567, 0.050839, 0.980168, 0.022218, 0.172313, 0.983275, 0.085149, 0.172313, 0.983275, 0.085149
0.672465, 0.778795, 0.197095, 0.450833, 0.908820, 0.169029, 0.663065, 0.782335, 0.194531, 0.663065, 0.782335, 0.194531
0.779528, 0.659769, 0.146432, 0.709131, 0.721571, 0.152744, 0.763657, 0.667826, 0.141305, 0.763657, 0.667826, 0.141305
0.891595, 0.499603, 0.105170, 0.821535, 0.566050, 0.113508, 0.877434, 0.502655, 0.082586, 0.877434, 0.502655, 0.082586
0.925655, 0.334310, 0.055484, 0.916694, 0.435348, 0.093219, 0.926509, 0.363853, 0.068303, 0.926509, 0.363853, 0.068303
0.917964, 0.433193, 0.067082, 0.957425, 0.377116, 0.085339, 0.918940, 0.432949, 0.068791, 0.918940, 0.432949, 0.068791
0.650735, 0.775987, 0.117012, 0.762620, 0.641012, 0.088989, 0.653299, 0.770372, 0.117378, 0.653299, 0.770372, 0.117378
0.427455, 0.932003, 0.084417, 0.524361, 0.869578, 0.093951, 0.431606, 0.923457, 0.085149, 0.431606, 0.923457, 0.085149
0.194043, 1.003052, 0.030703, 0.287304, 0.968241, 0.057157, 0.198437, 1.016969, 0.043399, 0.198437, 1.016969, 0.043399
-0.024477, 0.994751, 0.002136, 0.062650, 1.027040, 0.026558, 0.004822, 0.993530, 0.001404, -0.024477, 0.993530, 0.001404
-0.193310, 1.004029, -0.021303, -0.087951, 0.996136, -0.023622, 0.004822, 1.005738, 0.004822, -0.185131, 1.005738, -0.019838
-0.389245, 0.916621, -0.022890, -0.297101, 0.966325, -0.021400, 0.004822, 0.908320, 0.004822, -0.390466, 0.908320, -0.020082
-0.639993, 0.797717, -0.005677, -0.499676, 0.868895, -0.025533, 0.004822, 0.811878, 0.004822, -0.640481, 0.811878, -0.005921
-0.809192, 0.559299, -0.008118, -0.713441, 0.698584, 0.001166, 0.004822, 0.574803, 0.001648, -0.798938, 0.574803, -0.005921
-0.938351, 0.365074, 0.014344, -0.867515, 0.466538, -0.007373, 0.004822, 0.372642, 0.006531, -0.936886, 0.372642, 0.006531
-0.985473, 0.172191, -0.032534, -0.978838, 0.260764, -0.014460, 0.004822, 0.182445, 0.018739, -0.970335, 0.182445, -0.036440
-0.912959, 0.219069, -0.017274, -0.989153, 0.134463, -0.028493, 0.004822, 0.175365, 0.018739, -0.935665, 0.175365, -0.007630
-0.847769, 0.501801, 0.042544, -0.941079, 0.348642, 0.034237, 0.004822, 0.509369, 0.058048, -0.871452, 0.509369, 0.058048
-0.637795, 0.816029, 0.065006, -0.743484, 0.654984, 0.050992, 0.004822, 0.809437, 0.069645, -0.643411, 0.809437, 0.069645
-0.249588, 0.935665, 0.058048, -0.436458, 0.893634, 0.062516, 0.004822, 0.919551, 0.053165, -0.255692, 0.919551, 0.053165
-0.038149, 1.000977, 0.110175, -0.175920, 0.998444, 0.081200, 0.004822, 1.011597, 0.115669, -0.062565, 1.011597, 0.115669
0.173289, 1.034548, 0.168162, 0.056363, 0.989086, 0.105835, 0.151804, 1.044314, 0.155954, 0.151804, 1.044314, 0.155954
0.430629, 0.899774, 0.170604, 0.279534, 0.972703, 0.175676, 0.404261, 0.922236, 0.185009, 0.404261, 0.922236, 0.185009
0.635964, 0.748642, 0.154978, 0.538052, 0.837508, 0.167985, 0.632546, 0.769151, 0.164866, 0.632546, 0.769151, 0.164866
0.820057, 0.622169, 0.200635, 0.719453, 0.691607, 0.163120, 0.811512, 0.598486, 0.186230, 0.811512, 0.598486, 0.186230
0.930904, 0.337484, 0.107367, 0.879564, 0.497101, 0.156546, 0.916133, 0.357383, 0.124214, 0.916133, 0.357383, 0.124214
0.970213, 0.232009, 0.052921, 0.965867, 0.320369, 0.115199, 1.002930, 0.315632, 0.117378, 1.002930, 0.315632, 0.117378
0.812000, 0.546725, 0.093939, 0.904669, 0.459220, 0.096075, 0.815418, 0.558689, 0.102240, 0.815418, 0.558689, 0.102240
0.583715, 0.835317, 0.118110, 0.664860, 0.737612, 0.116066, 0.582494, 0.846792, 0.122749, 0.582494, 0.846792, 0.122749
0.172313, 1.023805, 0.113960, 0.385418, 0.922194, 0.110358, 0.179637, 1.018922, 0.108588, 0.179637, 1.018922, 0.108588
-0.087957, 0.999878, 0.060978, 0.055796, 1.015058, 0.088165, 0.009705, 1.012330, 0.068303, -0.061344, 1.012330, 0.068303
-0.469816, 0.883660, 0.001160, -0.295337, 0.976824, 0.035683, 0.009705, 0.891107, 0.006531, -0.458829, 0.891107, -0.003968
-0.751938, 0.687359, -0.020936, -0.556113, 0.797760, -0.006159, 0.009705, 0.702863, 0.005555, -0.719832, 0.702863, -0.019227
-0.867790, 0.420741, -0.019105, -0.824709, 0.549960, -0.021541, 0.009705, 0.416590, 0.000427, -0.871208, 0.416590, -0.021303
-0.990600, 0.275224, 0.022890, -0.984325, 0.329940, 0.017756, 0.009705, 0.215284, 0.016664, -1.008667, 0.215284, -0.004700
-0.997925, 0.019960, -0.060123, -0.978484, 0.138680, -0.034462, 0.009705, 0.026186, 0.004212, -1.005005, 0.026186, -0.059391
