You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.009583, 0.988403, 0.236770, -0.007312, 0.988158, 0.234121, 0.000000, 0.988891, 0.232375, -0.006165, 0.988891, 0.232375
-0.010560, 0.988891, 0.232375, -0.008301, 0.988219, 0.232613, 0.000000, 0.986205, 0.227248, -0.014466, 0.986205, 0.227248
-0.007874, 0.988158, 0.235793, -0.007722, 0.988268, 0.233504, 0.000000, 0.989623, 0.232985, -0.007386, 0.989623, 0.232985
-0.004578, 0.989135, 0.231887, -0.007917, 0.988714, 0.234426, 0.000000, 0.993286, 0.232863, -0.003235, 0.993286, 0.232863
-0.003968, 0.986083, 0.235183, -0.008136, 0.988311, 0.233205, 0.000000, 0.992675, 0.235549, -0.008606, 0.992675, 0.235549
-0.007142, 0.983764, 0.236770, -0.007874, 0.988287, 0.233022, 0.000000, 0.991088, 0.234084, -0.007386, 0.991088, 0.234084
-0.010804, 0.989257, 0.234206, -0.008722, 0.988360, 0.233602, 0.000000, 0.989379, 0.233596, -0.009339, 0.989379, 0.233596
-0.007874, 0.988403, 0.234084, -0.008143, 0.988958, 0.233669, 0.000000, 0.987182, 0.235305, -0.010071, 0.987182, 0.235305
-0.011048, 0.986694, 0.231643, -0.008240, 0.987664, 0.233968, 0.000000, 0.989501, 0.234450, -0.010438, 0.989501, 0.234450
-0.006775, 0.987792, 0.232985, -0.008430, 0.988384, 0.233858, 0.000000, 0.989379, 0.234572, -0.004944, 0.989379, 0.234572
-0.007386, 0.985473, 0.234328, -0.007923, 0.988281, 0.233931, 0.000000, 0.989379, 0.234572, -0.006165, 0.989379, 0.234572
-0.009827, 0.988891, 0.231887, -0.007868, 0.988311, 0.234102, 0.000000, 0.986205, 0.234694, -0.005799, 0.986205, 0.234694
-0.008118, 0.988403, 0.230666, -0.007032, 0.988049, 0.233187, 0.000000, 0.986205, 0.234084, -0.007386, 0.986205, 0.234084
-0.006165, 0.987182, 0.236526, -0.007899, 0.988934, 0.233541, 0.000000, 0.988891, 0.233352, -0.005677, 0.988891, 0.233352
-0.005921, 0.988403, 0.235061, -0.007776, 0.988317, 0.234365, 0.000000, 0.987426, 0.233718, -0.007752, 0.987426, 0.233718
-0.006043, 0.990112, 0.233718, -0.007612, 0.988323, 0.234029, 0.000000, 0.989868, 0.234328, -0.007142, 0.989868, 0.234328
-0.008362, 0.989868, 0.232131, -0.008167, 0.988274, 0.233431, 0.000000, 0.987548, 0.232131, -0.008484, 0.987548, 0.232131
-0.009217, 0.989257, 0.233107, -0.008802, 0.988732, 0.233535, 0.000000, 0.989379, 0.234206, -0.010804, 0.989379, 0.234206
-0.010438, 0.986571, 0.234572, -0.008210, 0.988494, 0.233468, 0.000000, 0.989013, 0.234328, -0.010438, 0.989013, 0.234328
-0.010071, 0.985961, 0.234328, -0.008295, 0.988665, 0.233571, 0.000000, 0.987304, 0.232741, -0.007630, 0.987304, 0.232741
-0.009095, 0.983520, 0.234328, -0.007935, 0.988171, 0.234170, 0.000000, 0.988647, 0.234572, -0.008362, 0.988647, 0.234572
-0.009827, 0.986205, 0.233107, -0.008491, 0.988482, 0.233809, 0.000000, 0.988158, 0.231643, -0.006653, 0.988158, 0.231643
-0.005677, 0.989135, 0.234328, -0.007984, 0.988561, 0.234054, 0.000000, 0.988647, 0.234817, -0.009339, 0.988647, 0.234817
-0.008118, 0.985351, 0.233107, -0.008143, 0.989153, 0.233748, 0.000000, 0.989257, 0.234328, -0.010071, 0.989257, 0.234328
-0.007386, 0.989135, 0.234084, -0.007966, 0.988525, 0.233657, 0.000000, 0.989135, 0.231154, -0.010560, 0.989135, 0.231154
-0.009827, 0.987548, 0.234939, -0.007483, 0.987859, 0.233407, 0.000000, 0.986938, 0.234084, -0.007630, 0.986938, 0.234084
-0.009827, 0.987914, 0.233840, -0.007563, 0.988684, 0.233968, 0.000000, 0.989135, 0.236282, -0.007630, 0.989135, 0.236282
-0.010560, 0.988647, 0.234328, -0.008124, 0.987896, 0.233925, 0.000000, 0.987060, 0.233840, -0.006531, 0.987060, 0.233840
-0.007386, 0.986938, 0.231643, -0.008497, 0.988952, 0.233492, 0.000000, 0.987426, 0.231887, -0.007142, 0.987426, 0.231887
-0.007142, 0.988647, 0.235793, -0.007929, 0.988903, 0.233736, 0.000000, 0.992065, 0.234084, -0.009705, 0.992065, 0.234084
-0.010560, 0.988403, 0.234572, -0.008155, 0.987945, 0.233602, 0.000000, 0.988158, 0.234328, -0.005677, 0.988158, 0.234328
-0.010316, 0.987670, 0.235305, -0.008387, 0.988574, 0.233864, 0.000000, 0.987426, 0.235061, -0.006897, 0.987426, 0.235061
